ID,SEX,AGE,AREAdis,MARRIED,CHILD,Undesirable,ConservatibeBuying,FoodLiteracy01,FoodLiteracy02,FoodLiteracy03,FoodLiteracy04,FoodLiteracy05,FoodLiteracy06,FoodLiteracy07,FoodLiteracy08,FoodLiteracy09,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Quiz06
209,1,39,265.9,1,1,5,2,5,1,4,4,5,5,5,5,5,1,1,4,2,3,2
210,1,56,224.9,2,2,6,6,5,4,3,5,2,2,2,2,2,3,1,3,2,5,2
211,1,54,141.3,2,2,6,2,3,3,2,3,3,3,3,3,3,5,1,2,5,5,2
212,1,27,67.7,1,1,4,6,3,3,4,5,3,3,2,4,4,3,3,5,5,5,3
213,2,40,240,2,2,3,3,4,3,3,3,3,3,3,4,3,1,1,1,1,3,2
214,2,27,222.4,2,2,3,4,3,3,3,3,4,3,2,3,3,4,5,5,5,5,5
215,2,32,427.9,2,2,6,1,4,2,1,5,3,2,4,5,3,1,4,1,5,5,5
216,1,46,195.9,2,2,1,1,3,5,3,3,4,3,4,4,3,5,5,5,5,5,2
217,1,56,156.3,2,1,6,2,4,3,2,3,2,2,2,2,2,1,1,2,2,4,1
218,2,54,342.1,2,2,4,3,3,3,3,3,4,3,4,5,4,5,5,2,2,5,5
219,1,50,141.3,2,2,4,3,3,3,2,2,2,2,2,3,3,5,5,2,2,1,2
220,2,43,360.1,2,2,3,4,3,2,3,2,2,2,2,2,2,3,1,1,2,3,2
221,1,58,1018.5,2,2,5,4,2,3,3,3,5,4,3,5,5,5,5,4,2,3,2
222,2,38,224.9,2,2,4,4,4,3,3,4,3,5,3,5,4,5,1,2,5,5,1
223,2,43,0,1,2,6,5,3,3,3,4,3,3,3,4,3,1,1,4,2,3,2
224,1,46,238.9,2,1,3,2,3,2,4,3,3,2,3,4,3,5,5,5,5,5,5
225,1,54,195.9,2,2,4,5,4,2,2,4,2,2,2,4,2,1,1,3,2,3,1
226,2,37,1018.5,2,2,4,4,5,4,4,4,3,3,3,3,3,1,3,2,5,5,5
227,1,59,0,1,1,5,1,3,3,1,3,1,1,1,1,1,5,5,1,5,3,2
228,2,46,265.9,2,2,4,4,3,3,3,3,3,3,3,2,3,5,5,5,5,5,5
229,1,53,156.3,1,1,5,5,2,2,2,3,2,1,1,1,1,5,5,5,1,3,5
230,2,43,512.9,2,1,2,3,4,3,3,5,3,4,3,5,5,5,5,5,5,5,3
231,2,52,67.7,2,2,5,4,5,5,3,4,3,3,3,3,3,5,1,5,2,3,2
232,2,37,1137.6,2,2,6,5,2,3,2,2,1,2,2,3,2,5,5,5,5,5,5
233,2,35,342.1,1,1,5,4,4,3,2,2,3,3,4,3,3,1,1,3,5,5,3
234,2,52,671.7,2,2,6,6,5,5,5,4,5,5,5,5,5,4,1,4,2,5,5
235,1,44,594.8,2,2,6,3,4,3,4,3,3,3,3,5,3,4,5,3,1,3,2
236,1,47,67.7,1,1,5,1,3,3,3,3,3,3,3,3,3,1,5,5,2,4,4
237,1,59,67.7,1,1,5,4,3,4,3,3,4,2,2,4,1,1,1,3,2,3,2
238,1,49,488.7,2,2,4,4,3,3,3,4,3,3,3,3,3,1,1,3,2,3,1
239,2,55,512.9,1,1,5,3,3,4,2,3,5,1,4,5,4,1,1,5,1,5,5
240,1,38,0,2,1,6,6,3,4,4,4,4,4,4,5,4,3,4,4,1,4,2
241,1,59,1018.5,2,1,4,4,1,3,3,3,3,3,3,4,3,1,1,4,2,4,1
242,1,33,594.8,1,1,3,4,3,3,3,3,3,3,3,4,3,5,5,5,5,5,5
243,1,37,141.3,1,1,5,3,4,4,3,3,2,3,3,3,3,1,2,1,1,2,1
244,1,48,0,2,2,2,3,3,3,3,2,2,3,3,2,2,5,1,2,4,3,1
245,1,50,141.3,2,2,4,2,4,3,3,4,4,3,4,4,4,5,1,4,2,4,1
246,1,31,265.9,1,1,5,5,3,3,3,3,3,3,3,4,3,5,5,5,2,2,5
247,2,44,594.8,2,2,4,4,3,3,2,3,3,2,3,3,3,5,5,2,3,5,5
248,1,47,537.8,1,1,6,5,3,4,3,4,3,3,3,3,3,3,1,3,2,3,2
249,1,39,559.7,1,1,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5
250,2,28,238.9,1,1,4,4,3,4,3,3,3,3,3,3,3,5,5,5,5,1,1
251,1,53,342.1,2,2,4,5,4,4,1,4,1,1,1,2,2,1,2,2,1,5,1
252,1,42,819.8,2,2,4,5,3,4,3,2,3,3,4,4,4,2,1,3,2,1,3
253,2,28,67.7,1,1,4,4,3,3,3,2,3,3,3,3,3,5,2,2,1,5,1
254,2,31,238.9,2,2,3,2,5,3,3,4,5,4,4,5,4,5,5,3,2,5,2
255,1,38,220.8,1,1,4,4,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5
256,2,45,583.8,2,1,6,3,3,3,2,2,3,3,4,4,5,1,2,3,2,3,2
257,2,55,1018.5,2,2,4,4,3,4,2,4,4,2,4,5,3,5,5,2,1,4,2
258,2,25,220.8,1,1,6,5,3,4,2,4,1,1,3,4,2,1,1,3,2,3,2
259,2,31,594.8,2,1,4,3,4,4,3,3,3,3,3,4,4,5,5,2,2,5,5
260,2,55,709.8,2,2,4,5,4,4,3,3,3,4,4,4,3,5,5,3,2,5,1
261,2,50,342.1,2,2,6,5,4,4,3,5,5,3,5,4,4,3,1,2,1,3,5
262,2,53,1018.5,2,2,5,3,5,3,5,5,5,5,5,5,5,1,4,2,2,3,1
263,1,45,67.7,2,2,5,5,4,3,4,4,2,2,4,5,2,4,5,3,3,3,1
264,2,55,236.8,1,2,5,4,3,4,3,4,3,3,4,4,3,3,5,2,2,2,3
265,2,57,811.3,2,2,4,3,4,4,3,3,4,2,2,5,4,3,5,2,5,5,5
266,2,28,610.2,1,1,4,4,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5
267,1,54,594.8,1,1,2,1,4,4,4,5,5,4,5,5,3,1,1,1,2,4,5
268,1,23,946,1,1,6,1,3,3,3,3,1,1,1,1,1,3,5,1,1,5,5
269,1,56,222.4,1,1,4,2,4,4,4,4,4,4,4,4,4,3,1,2,2,4,2
270,2,43,141.3,1,1,4,3,3,3,3,4,3,3,3,3,3,5,5,3,2,3,5
